policy,param,value,scenario,seed,mean_reward,sla_violation_rate,embb_goodput_mbps,urllc_rtt_p95_ms,guardrail_intervention_rate,decision_latency_mean_ms
linucb,policy.linucb.alpha,0.05,adversarial,100,0.12752661172405694,0.007407407407407408,3.3692120794122955,5.68241230099818,0.13333333333333333,0.12803888888910292
linucb,policy.linucb.alpha,0.05,adversarial,101,0.13901107086972528,0.011111111111111112,3.598398690218378,5.5620394885573665,0.11481481481481481,0.13487111111040215
linucb,policy.linucb.alpha,0.05,adversarial,102,0.10653249827488752,0.007407407407407408,3.344834899496909,5.510993157443726,0.14074074074074075,0.11567962962946812
linucb,policy.linucb.alpha,0.05,adversarial,103,0.13728206147066765,0.003703703703703704,3.372447729245774,5.395114508633711,0.13333333333333333,0.1854018518519259
linucb,policy.linucb.alpha,0.05,adversarial,104,0.12047039209544114,0.014814814814814815,3.5451562864237114,5.484782311623866,0.06666666666666667,0.12124444444470715
linucb,policy.linucb.alpha,0.05,burst,100,0.18468843622655465,0.003703703703703704,2.8345038045739233,5.259266274260707,0.022222222222222223,0.11000333333420806
linucb,policy.linucb.alpha,0.05,burst,101,0.17278337254852172,0.007407407407407408,2.81567883292485,5.328781327321644,0.025925925925925925,0.11376629629646012
linucb,policy.linucb.alpha,0.05,burst,102,0.18804973865719624,0.0,2.7958382903813006,5.31649688593981,0.0,0.14224555555594415
linucb,policy.linucb.alpha,0.05,burst,103,0.18649249807019336,0.0,2.8028725479975263,5.280706582566612,0.018518518518518517,0.1404174074071694
linucb,policy.linucb.alpha,0.05,burst,104,0.18805229503907991,0.0,2.778982106966138,5.287768030823989,0.0,0.14639925925963468
linucb,policy.linucb.alpha,0.05,ramp,100,0.261852676985405,0.0,2.8085594130046507,2.5178748341143122,0.0,0.12491370370381842
linucb,policy.linucb.alpha,0.05,ramp,101,0.26168378584610924,0.0,2.764182442036252,2.5274441403539605,0.0,0.11625074074088472
linucb,policy.linucb.alpha,0.05,ramp,102,0.2574689206694822,0.0,2.7762292701906874,2.5350717484516005,0.0,0.10972000000043215
linucb,policy.linucb.alpha,0.05,ramp,103,0.25862124545981974,0.0,2.7554894745581677,2.5711475242716606,0.0,0.11668703703717424
linucb,policy.linucb.alpha,0.05,ramp,104,0.2619230281579427,0.0,2.777775101083699,2.516274709286641,0.0,0.11324777777751385
linucb,policy.linucb.alpha,0.05,sawtooth,100,0.31898632031184027,0.0,3.0121610446016285,3.2987672210325774,0.0,0.12432925925922847
linucb,policy.linucb.alpha,0.05,sawtooth,101,0.3218245021324071,0.0,2.9950740655246606,3.289924767956022,0.0,0.1651192592588144
linucb,policy.linucb.alpha,0.05,sawtooth,102,0.32008961476843667,0.0,3.008194130571307,3.356470848367056,0.0,0.12602407407374333
linucb,policy.linucb.alpha,0.05,sawtooth,103,0.31983192705707886,0.0,2.9879307014693794,3.3324743247526603,0.0,0.1367203703700347
linucb,policy.linucb.alpha,0.05,sawtooth,104,0.3205144141320647,0.0,3.0145347199876267,3.352281821187975,0.0,0.10819777777768465
linucb,policy.linucb.alpha,0.1,adversarial,100,0.10065575491399004,0.014814814814814815,3.333552459603041,5.638834434338625,0.07777777777777778,0.10757148148141166
linucb,policy.linucb.alpha,0.1,adversarial,101,0.17818976108246273,0.040740740740740744,4.268930952556037,4.9958189530144645,0.16666666666666666,0.12092888888862195
linucb,policy.linucb.alpha,0.1,adversarial,102,0.08948353156802269,0.011111111111111112,3.3221386415285137,5.4569767595671985,0.1037037037037037,0.11510666666636224
linucb,policy.linucb.alpha,0.1,adversarial,103,0.19171512270163807,0.025925925925925925,4.211331985060737,5.395114508633711,0.15555555555555556,0.11126703703710021
linucb,policy.linucb.alpha,0.1,adversarial,104,0.12512591301036607,0.014814814814814815,3.6050329711207567,5.490740496173796,0.05925925925925926,0.14847703703595613
linucb,policy.linucb.alpha,0.1,burst,100,0.16362729445643687,0.003703703703703704,2.532899506169266,3.375821129945088,0.018518518518518517,0.14908888888922117
linucb,policy.linucb.alpha,0.1,burst,101,0.17574445598887753,0.007407407407407408,2.824778621561917,5.282199772395664,0.037037037037037035,0.13846074074087433
linucb,policy.linucb.alpha,0.1,burst,102,0.17641383405420435,0.003703703703703704,2.798321821589937,5.323189890382475,0.014814814814814815,0.12945037037005241
linucb,policy.linucb.alpha,0.1,burst,103,0.15748120634782237,0.003703703703703704,2.5163692147638055,3.4906895810589265,0.011111111111111112,0.10981037037243756
linucb,policy.linucb.alpha,0.1,burst,104,0.1819303374552781,0.003703703703703704,2.8029788550796235,5.287768030823989,0.025925925925925925,0.1102655555560735
linucb,policy.linucb.alpha,0.1,ramp,100,0.27101934365207164,0.0,2.869670524115762,2.5178748341143122,0.0,0.12005888888779737
linucb,policy.linucb.alpha,0.1,ramp,101,0.26861246869979194,0.0,2.811395567699045,2.536807776822698,0.0,0.1136503703695216
linucb,policy.linucb.alpha,0.1,ramp,102,0.2641355873361489,0.0,2.8206737146351317,2.5350717484516005,0.0,0.18228407407413535
linucb,policy.linucb.alpha,0.1,ramp,103,0.26688129314273307,0.0,2.8114144175075433,2.577842601894195,0.0,0.1224911111115211
linucb,policy.linucb.alpha,0.1,ramp,104,0.2677563614912761,0.0,2.816663989972587,2.516274709286641,0.0,0.11999888888914888
linucb,policy.linucb.alpha,0.1,sawtooth,100,0.31898632031184027,0.0,3.0121610446016285,3.2987672210325774,0.0,0.1414811111121455
linucb,policy.linucb.alpha,0.1,sawtooth,101,0.3218245021324071,0.0,2.9950740655246606,3.289924767956022,0.0,0.09904592592672795
linucb,policy.linucb.alpha,0.1,sawtooth,102,0.32008961476843667,0.0,3.008194130571307,3.356470848367056,0.0,0.09992296296211912
linucb,policy.linucb.alpha,0.1,sawtooth,103,0.31983192705707886,0.0,2.9879307014693794,3.3324743247526603,0.0,0.11230666666485242
linucb,policy.linucb.alpha,0.1,sawtooth,104,0.3205144141320647,0.0,3.0145347199876267,3.352281821187975,0.0,0.09708185185093886
linucb,policy.linucb.alpha,0.25,adversarial,100,0.12040949263287577,0.022222222222222223,3.65995836159308,5.532424662952896,0.08888888888888889,0.10811481481480482
linucb,policy.linucb.alpha,0.25,adversarial,101,0.2076345141927349,0.040740740740740744,4.520575179260907,5.009271556012041,0.16296296296296298,0.15797962962919967
linucb,policy.linucb.alpha,0.25,adversarial,102,0.17980407440291868,0.037037037037037035,4.358276625605446,4.8862864077036345,0.14814814814814814,0.12807333333339724
