policy,baseline,scenario,metric,n_paired,mean_delta,ci95_half,ci95_lo,ci95_hi,separated_from_zero
threshold,static_equal,adversarial,mean_reward,10,0.11511245023613229,0.008657902682430461,0.10645454755370182,0.12377035291856275,True
threshold,static_equal,adversarial,link_util_mean,10,0.1272876105637541,0.002456195250551394,0.1248314153132027,0.1297438058143055,True
epsilon_greedy,static_equal,burst,urllc_rtt_p50_ms,10,0.014933371087801461,0.03378163237182839,-0.018848261284026932,0.048715003459629855,False
epsilon_greedy,static_equal,burst,urllc_rtt_p95_ms,10,1.5790515460132728,0.5852837151896644,0.9937678308236084,2.164335261202937,True
epsilon_greedy,static_equal,burst,urllc_rtt_p99_ms,10,3.181355455512384,0.8904689885458217,2.2908864669665627,4.071824444058206,True
epsilon_greedy,static_equal,burst,sla_violation_rate,10,0.013333333333333336,0.005884766568485555,0.007448566764847781,0.019218099901818893,True
epsilon_greedy,static_equal,burst,embb_goodput_mbps,10,0.14012308414673394,0.07003534664266803,0.07008773750406591,0.21015843078940197,True
epsilon_greedy,static_equal,burst,be_goodput_mbps,10,-0.146031073919283,0.05439453833185396,-0.20042561225113695,-0.09163653558742904,True
epsilon_greedy,static_equal,burst,total_drops,10,121.6,592.28289806035,-470.68289806035,713.88289806035,False
epsilon_greedy,static_equal,burst,guardrail_intervention_rate,10,0.20407407407407407,0.13443402653915612,0.06964004753491795,0.3385081006132302,True
epsilon_greedy,static_equal,burst,decision_latency_mean_ms,10,0.03758851851884721,0.0022244633200357486,0.03536405519881146,0.03981298183888296,True
epsilon_greedy,static_equal,burst,decision_latency_p99_ms,10,0.09082689999732059,0.026856613499926702,0.06397028649739389,0.11768351349724729,True
epsilon_greedy,static_equal,burst,mean_reward,10,-0.03431098497961866,0.017746679576247273,-0.05205766455586593,-0.016564305403371386,True
epsilon_greedy,static_equal,burst,link_util_mean,10,-0.0005926185875352541,0.002637150463845124,-0.003229769051380378,0.00204453187630987,False
epsilon_greedy_pretrained,static_equal,burst,urllc_rtt_p50_ms,10,0.5781086570213467,0.5616346923688778,0.016473964652468975,1.1397433493902245,True
epsilon_greedy_pretrained,static_equal,burst,urllc_rtt_p95_ms,10,1.9750234981374735,0.022295155225131532,1.9527283429123419,1.997318653362605,True
epsilon_greedy_pretrained,static_equal,burst,urllc_rtt_p99_ms,10,3.3240867296024974,0.15910659478458242,3.164980134817915,3.48319332438708,True
epsilon_greedy_pretrained,static_equal,burst,sla_violation_rate,10,0.008518518518518519,0.005592550849884137,0.002925967668634382,0.014111069368402656,True
epsilon_greedy_pretrained,static_equal,burst,embb_goodput_mbps,10,0.2414903561589193,0.03568683230373096,0.20580352385518835,0.27717718846265027,True
epsilon_greedy_pretrained,static_equal,burst,be_goodput_mbps,10,-0.20774460773224862,0.014793142098404393,-0.22253774983065303,-0.19295146563384422,True
epsilon_greedy_pretrained,static_equal,burst,total_drops,10,-774.6,514.7292389952748,-1289.3292389952749,-259.8707610047252,True
epsilon_greedy_pretrained,static_equal,burst,guardrail_intervention_rate,10,0.515925925925926,0.006731716557119035,0.509194209368807,0.522657642483045,True
epsilon_greedy_pretrained,static_equal,burst,decision_latency_mean_ms,10,0.04291792592404682,0.0032798540432873277,0.03963807188075949,0.04619777996733415,True
epsilon_greedy_pretrained,static_equal,burst,decision_latency_p99_ms,10,0.11287489998896665,0.03960794141874386,0.07326695857022278,0.1524828414077105,True
epsilon_greedy_pretrained,static_equal,burst,mean_reward,10,-0.01560995201441058,0.017470970170355028,-0.033080922184765604,0.0018610181559444473,False
epsilon_greedy_pretrained,static_equal,burst,link_util_mean,10,0.003371867114927085,0.002261948062976973,0.0011099190519501118,0.005633815177904058,True
linucb,static_equal,burst,urllc_rtt_p50_ms,10,0.0,0.0,0.0,0.0,False
linucb,static_equal,burst,urllc_rtt_p95_ms,10,1.8925916117037886,0.026731172780579775,1.865860438923209,1.9193227844843683,True
linucb,static_equal,burst,urllc_rtt_p99_ms,10,2.823896722816233,0.3393773648965628,2.4845193579196705,3.1632740877127956,True
linucb,static_equal,burst,sla_violation_rate,10,0.0077777777777777776,0.0015039616224208805,0.006273816155356897,0.009281739400198658,True
linucb,static_equal,burst,embb_goodput_mbps,10,0.1479469449502075,0.02693316037575978,0.12101378457444771,0.17488010532596726,True
linucb,static_equal,burst,be_goodput_mbps,10,-0.13508832438728896,0.022503075645974258,-0.15759140003326322,-0.1125852487413147,True
linucb,static_equal,burst,total_drops,10,-303.6,224.55756065432138,-528.1575606543214,-79.04243934567864,True
