w_sla,w_drop,policy,scenario,seed,mean_reward,sla_violation_rate,embb_goodput_mbps,urllc_rtt_p95_ms,guardrail_intervention_rate
0.25,1.0,static_safe,burst,100,-0.11741002776934316,0.0,1.9702268035342274,2.0,0.0
0.25,1.0,static_safe,burst,101,-0.12117423798209423,0.0,1.9833226062358258,2.0,0.0
0.25,1.0,static_safe,burst,102,-0.11780578795772896,0.0,1.9830109600958732,2.0,0.0
0.25,1.0,static_safe,ramp,100,-0.050246479410348564,0.0,1.84938778204917,2.0,0.0
0.25,1.0,static_safe,ramp,101,-0.039974934492798715,0.0,1.8436361776096581,2.0,0.0
0.25,1.0,static_safe,ramp,102,-0.05054092963359098,0.0,1.8448302751377692,2.0,0.0
0.25,1.0,static_safe,sawtooth,100,0.0309342265227904,0.0,1.9922297255918575,2.0,0.0
0.25,1.0,static_safe,sawtooth,101,0.04149186635626619,0.0,1.9941276136904849,2.0,0.0
0.25,1.0,static_safe,sawtooth,102,0.03627601628780808,0.0,1.9980622480420578,2.0,0.0
0.25,1.0,static_equal,adversarial,100,-0.11788258289729805,0.0,3.395242005285787,5.68241230099818,0.0
0.25,1.0,static_equal,adversarial,101,-0.12236550141908611,0.0,3.3909151877580483,5.526508884914903,0.0
0.25,1.0,static_equal,adversarial,102,-0.15502671330260168,0.0,3.381531376091246,5.510993157443726,0.0
0.25,1.0,static_equal,burst,100,0.0013462737802429879,0.0,2.638148374219868,3.375821129945088,0.0
0.25,1.0,static_equal,burst,101,0.002336346913496587,0.0,2.6683406589690977,3.4143939649152855,0.0
0.25,1.0,static_equal,burst,102,0.0034742492997655657,0.0,2.661359340253915,3.3925483282844473,0.0
0.25,1.0,static_equal,ramp,100,0.16494893222200335,0.0,2.9287886320373016,2.526728700100383,0.0
0.25,1.0,static_equal,ramp,101,0.16880924166098993,0.0,2.8975205928722274,2.536807776822698,0.0
0.25,1.0,static_equal,ramp,102,0.15925400375678206,0.0,2.9018801010636865,2.537603211412665,0.0
0.25,1.0,static_equal,sawtooth,100,0.2331707647562847,0.0,3.0121610446016285,3.2987672210325774,0.0
0.25,1.0,static_equal,sawtooth,101,0.2378956132435182,0.0,2.9950740655246606,3.289924767956022,0.0
0.25,1.0,static_equal,sawtooth,102,0.23543183699065884,0.0,3.008194130571307,3.356470848367056,0.0
0.25,1.0,threshold,adversarial,100,0.06527190946588858,0.03333333333333333,4.8832488991682705,3.8319866141594794,0.040740740740740744
0.25,1.0,threshold,adversarial,101,0.09111700647150586,0.02962962962962963,4.967442341304454,4.624337027824596,0.02962962962962963
0.25,1.0,threshold,adversarial,102,0.061958882662580254,0.02962962962962963,4.957057590422353,3.8162045194398626,0.02962962962962963
0.25,1.0,threshold,burst,100,-0.0235005736941511,0.014814814814814815,2.7736888799912043,5.247695647402504,0.037037037037037035
0.25,1.0,threshold,burst,101,-0.02473341943210162,0.014814814814814815,2.788924174004335,5.265976613934069,0.037037037037037035
0.25,1.0,threshold,burst,102,-0.01811240855473449,0.014814814814814815,2.796853762684271,5.328117909824268,0.044444444444444446
0.25,1.0,threshold,ramp,100,0.2487375064398852,0.0,3.3999737342753846,4.214598528794499,0.037037037037037035
0.25,1.0,threshold,ramp,101,0.23537529194399764,0.003703703703703704,3.3375831689658244,4.198676597750054,0.03333333333333333
0.25,1.0,threshold,ramp,102,0.23917574233608038,0.0,3.3654325221508907,4.1903288488059856,0.02962962962962963
