policy,scenario,seed,n_steps,urllc_rtt_p50_ms,urllc_rtt_p95_ms,urllc_rtt_p99_ms,sla_violation_rate,embb_goodput_mbps,be_goodput_mbps,total_drops,guardrail_intervention_rate,decision_latency_mean_ms,decision_latency_p99_ms,mean_reward,link_util_mean,run_id
epsilon_greedy,burst,7,270,2.1493337108780146,5.37104260126973,6.879459784888099,0.007407407407407408,2.8660128692131126,3.5606520776761026,83597,0.4740740740740741,0.06693592592468015,0.1343350000055921,0.17352429677090586,0.9424407527526497,epsilon_greedy_burst_7
epsilon_greedy,burst,8,270,2.0,5.301408975513432,5.891536705235842,0.007407407407407408,2.833137935932289,3.6079319178400806,82602,0.02962962962962963,0.05864703703671823,0.11273700004153397,0.1805603161216831,0.9444480871704275,epsilon_greedy_burst_8
epsilon_greedy,burst,9,270,2.0,5.297463210263979,6.760917208274797,0.007407407407407408,2.884725089159659,3.4812321692647035,82958,0.07037037037037037,0.06060074074664747,0.1078879999431592,0.17584696647378606,0.9363927236637809,epsilon_greedy_burst_9
epsilon_greedy,ramp,0,270,3.4267877125510884,5.399061400704871,5.752924460785177,0.0,3.4020358158750237,3.3014370293996333,42278,0.35185185185185186,0.06537518518525352,0.10939299999940029,0.33690754303529563,0.9212244450589359,epsilon_greedy_ramp_0
epsilon_greedy,ramp,1,270,2.8537102298031813,4.212183162355221,5.519435153130981,0.0,3.390685588581288,3.309484590682488,43043,0.018518518518518517,0.06202962962923398,0.19562799998084301,0.34072563074294676,0.9195540307892572,epsilon_greedy_ramp_1
epsilon_greedy,ramp,2,270,2.0,2.5779179070401117,2.65394262166936,0.0,2.9028901332821455,3.4527116922677283,51422,0.0,0.053391111107346075,0.10169199985966772,0.2795992529851352,0.886312779156183,epsilon_greedy_ramp_2
epsilon_greedy,ramp,3,270,2.929726208179337,4.189765706970934,5.481623945601049,0.0,3.388715197898619,3.3459204905973734,42866,0.014814814814814815,0.061363703703473514,0.15298099994538464,0.3421488496960542,0.923063792821265,epsilon_greedy_ramp_3
epsilon_greedy,ramp,4,270,2.0,2.5588536737858316,2.754028724136852,0.003703703703703704,2.885553103252411,3.5364839238091563,51893,0.014814814814814815,0.05180185185212036,0.10912599999997491,0.26988996546964883,0.8927303071865679,epsilon_greedy_ramp_4
epsilon_greedy,ramp,5,270,2.912261414277219,4.180818844472102,4.255258751098375,0.0,3.3581149683959395,3.372670778946317,42738,0.003703703703703704,0.060740740738967514,0.10369799997533849,0.34073458745705304,0.9223256335187517,epsilon_greedy_ramp_5
epsilon_greedy,ramp,6,270,2.0,5.632786166157452,5.801515751012746,0.0,3.2388809746992613,3.3526419170415656,45286,0.31851851851851853,0.06438777777517583,0.10444800003028831,0.29575458487018746,0.9085632129375374,epsilon_greedy_ramp_6
